index	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
WASH7P	110.00436062606936	-0.019676776711214088	0.05356449435045165	-0.36734738094373837	0.7133599158552557	0.8306302397100674
RP11-34P13.7	14.223276615619438	0.48152950410499973	0.1457699949102575	3.3033513131522763	0.0009553661796819249	0.011123213294529956
CICP27	111.23434770027436	0.2473044848826238	0.10765175355858052	2.2972638782706767	0.021603721073638574	0.08501670491380366
RP11-34P13.15	3294.4270267641655	0.13771134232305707	0.07616105653888297	1.808159557933003	0.07058167090683676	0.18804714977042417
RP11-34P13.16	1809.421625719232	0.14030438724605307	0.07338269532337009	1.911954673070866	0.05588200812572827	0.16068050475736184
RP11-34P13.14	75.681804937412	0.20783489085482204	0.08703714039987089	2.3878873995627083	0.016945532732678077	0.07285133577652234
RP11-34P13.13	62.68965811552659	-0.06308648723157358	0.08129687010663326	-0.7760014272237789	0.437748143169965	0.6186884593482377
ABC7-43046700E7.1	7.141360081137693	-0.07726401993743166	0.13779378086580688	-0.5607221127975052	0.5749869902592835	0.7320942977881358
RP11-34P13.18	207.12592486305414	-0.08005610673559305	0.04783983184436252	-1.67341948433347	0.0942447447795417	0.22668296273809985
AP006222.2	128.544710037936	0.2272853422731584	0.10333608275551098	2.1994770482146726	0.027844019380207526	0.10071680817167325
RP4-669L17.10	38.939140665676014	-0.010371589693098	0.07341055147686701	-0.1412820021705773	0.8876471671807805	0.9392471631875582
RP4-669L17.8	24.66117390393688	-0.1175976729794165	0.1347309216675111	-0.8728335821054055	0.38275379236862483	0.5686294363107053
MTND1P23	226.6955435582151	0.38973071036164886	0.1850780976824108	2.105763541131791	0.03522489727317454	0.11809391634254261
MTND2P28	2089.4012230881476	-0.15017168140335457	0.08438881588586278	-1.7795211347255322	0.07515436306442232	0.196008817792377
MTCO1P12	810.9276649708727	-0.09695940480574732	0.11353287513680532	-0.8540205177479454	0.39309362104666035	0.5782341294807238
MTCO2P12	114.15195878876844	-0.1975211052106825	0.0882339558434781	-2.238606478905621	0.02518153231693887	0.09428562758845059
MTATP8P1	17.76733975133282	-0.21947403875077323	0.10559575616332505	-2.0784361675606786	0.037669204427608655	0.12347990034569081
MTATP6P1	9797.860801852874	-0.28313589064852024	0.07072597163856854	-4.003280323887689	6.247020747446544e-05	0.0018599936077204047
